playerID,birthYear,nameFirst,nameLast,weight,height,bats,throws,debut
leicejo01,1979.0,Jon,Leicester,220.0,75.0,R,R,2004-06-09
leipeda01,1962.0,Dave,Leiper,160.0,73.0,L,L,1984-09-02
leistjo01,1961.0,John,Leister,200.0,74.0,R,R,1987-05-28
leiteal01,1965.0,Al,Leiter,200.0,74.0,L,L,1987-09-15
leitema01,1963.0,Mark,Leiter,200.0,75.0,R,R,1990-07-24
leiussc01,1965.0,Scott,Leius,180.0,75.0,R,R,1990-09-03
lemahdj01,1988.0,DJ,LeMahieu,215.0,76.0,R,R,2011-05-30
lemasjo01,1954.0,Johnnie,LeMaster,165.0,74.0,R,R,1975-09-02
lemkema01,1965.0,Mark,Lemke,167.0,70.0,B,R,1988-09-17
lemonch01,1955.0,Chet,Lemon,190.0,72.0,R,R,1975-09-09
lennopa01,1968.0,Pat,Lennon,200.0,74.0,R,R,1991-09-15
leonabu99,1907.0,Buck,Leonard,185.0,70.0,L,L,
leonade01,1951.0,Dennis,Leonard,190.0,73.0,R,R,1974-09-04
leonaje01,1955.0,Jeffrey,Leonard,200.0,74.0,R,R,1977-09-02
leonama01,1964.0,Mark,Leonard,195.0,73.0,L,R,1990-07-21
leonar01,1988.0,Arnold,Leon,205.0,73.0,R,R,2015-04-22
leonda01,1967.0,Danny,Leon,170.0,73.0,R,R,1992-06-06
leonedo01,1991.0,Dominic,Leone,210.0,71.0,R,R,2014-04-06
leoneju01,1977.0,Justin,Leone,210.0,73.0,R,R,2004-07-02
leonjo01,1976.0,Jose,Leon,175.0,72.0,R,R,2002-06-16
leonsa01,1989.0,Sandy,Leon,225.0,70.0,B,R,2012-05-14
lerchra01,1954.0,Randy,Lerch,190.0,77.0,L,L,1975-09-14
lerewan01,1982.0,Anthony,Lerew,225.0,76.0,L,R,2005-09-04
lerouch01,1984.0,Chris,Leroux,225.0,78.0,L,R,2009-05-26
leroyjo01,1975.0,John,LeRoy,175.0,75.0,R,R,1997-09-26
lerudst01,1984.0,Steven,Lerud,220.0,73.0,L,R,2012-08-30
leshebr01,1971.0,Brian,Lesher,205.0,77.0,R,L,1996-08-25
leskacu01,1968.0,Curt,Leskanic,180.0,72.0,R,R,1993-06-27
leslebr01,1958.0,Brad,Lesley,230.0,78.0,R,R,1982-07-31
lestejo01,1984.0,Jon,Lester,240.0,76.0,L,L,2006-06-10
levinal01,1968.0,Al,Levine,180.0,75.0,L,R,1996-06-22
levisje01,1968.0,Jesse,Levis,180.0,69.0,L,R,1992-04-24
levraal01,1977.0,Allen,Levrault,240.0,75.0,R,R,2000-06-13
lewisco01,1979.0,Colby,Lewis,245.0,76.0,R,R,2002-04-01
lewisda01,1967.0,Darren,Lewis,180.0,72.0,R,R,1990-08-21
lewisfr02,1980.0,Fred,Lewis,205.0,74.0,L,R,2006-09-01
lewisje01,1984.0,Jensen,Lewis,240.0,75.0,R,R,2007-07-16
lewisji01,1955.0,Jim,Lewis,190.0,75.0,R,R,1979-09-12
lewisji02,1964.0,Jim,Lewis,200.0,74.0,R,R,1991-08-09
lewisma01,1969.0,Mark,Lewis,190.0,73.0,R,R,1991-04-26
lewisri01,1966.0,Richie,Lewis,175.0,66.0,R,R,1992-07-31
lewisro01,1982.0,Rommie,Lewis,230.0,77.0,L,L,2010-04-28
lewissc01,1965.0,Scott,Lewis,190.0,75.0,R,R,1990-09-25
lewissc02,1983.0,Scott,Lewis,195.0,72.0,B,L,2008-09-10
leylaji99,1944.0,Jim,Leyland,175.0,71.0,R,R,
leyriji01,1963.0,Jim,Leyritz,190.0,72.0,R,R,1990-06-08
leyvani99,1953.0,Nick,Leyva,165.0,71.0,R,R,
lezcasi01,1953.0,Sixto,Lezcano,165.0,70.0,R,R,1974-09-10
liberad01,1987.0,Adam,Liberatore,240.0,75.0,L,L,2015-04-17
liddeda01,1966.0,Dave,Liddell,190.0,72.0,R,R,1990-06-03
liddial01,1988.0,Alex,Liddi,225.0,76.0,R,R,2011-09-07
lidgebr01,1976.0,Brad,Lidge,210.0,77.0,R,R,2002-04-26
lidleco01,1972.0,Cory,Lidle,175.0,71.0,R,R,1997-05-08
liebejo01,1970.0,Jon,Lieber,220.0,75.0,L,R,1994-05-15
liebemi01,1972.0,Mike,Lieberthal,170.0,72.0,R,R,1994-06-30
liefeje01,1974.0,Jeff,Liefer,195.0,75.0,L,R,1999-04-07
ligteke01,1971.0,Kerry,Ligtenberg,185.0,74.0,R,R,1997-08-12
lillibr01,1983.0,Brent,Lillibridge,185.0,71.0,R,R,2008-04-26
lillide01,1966.0,Derek,Lilliquist,200.0,72.0,L,L,1989-04-13
lillyte01,1976.0,Ted,Lilly,195.0,72.0,L,L,1999-05-14
limajo01,1972.0,Jose,Lima,170.0,74.0,R,R,1994-04-20
limch01,1976.0,Chang-Yong,Lim,175.0,71.0,R,R,2013-09-07
linarru01,1951.0,Rufino,Linares,170.0,72.0,R,R,1981-04-10
linceti01,1984.0,Tim,Lincecum,170.0,71.0,L,R,2007-05-06
linch01,1988.0,Che-Hsuan,Lin,180.0,72.0,R,R,2012-04-14
